gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score,avg_score,risk_level,performance_band,recommendation,overall_rank,gender_rank,math_rank,performance_cluster
male,group D,some high school,standard,none,86,80,75,241,80.33333333333333,Top Performer,Good,Excellent student - can mentor others,187,73,96,High Achiever
female,group B,associate's degree,standard,completed,52,66,73,191,63.666666666666664,Moderate Risk,Average,Needs improvement with guidance,632,356,822,Average Student
female,group E,master's degree,free/reduced,none,45,56,54,155,51.666666666666664,Moderate Risk,Average,Needs improvement with guidance,860,463,916,Needs Improvement
female,group C,some college,standard,none,72,72,71,215,71.66666666666667,Low Risk,Good,Stable performance,404,241,348,Average Student
male,group D,high school,standard,none,57,50,54,161,53.666666666666664,Moderate Risk,Average,Needs improvement with guidance,830,384,735,Needs Improvement
male,group A,some high school,free/reduced,none,68,72,64,204,68.0,Low Risk,Average,Stable performance,512,220,442,Average Student
female,group C,some college,standard,completed,88,95,94,277,92.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,34,25,65,High Achiever
male,group D,some college,standard,none,76,64,66,206,68.66666666666667,Low Risk,Average,Stable performance,487,205,254,Average Student
male,group C,associate's degree,standard,none,46,43,42,131,43.666666666666664,High Risk,Poor,Needs immediate academic support,954,460,905,Needs Improvement
female,group B,bachelor's degree,standard,none,67,86,83,236,78.66666666666667,Low Risk,Good,Stable performance,222,130,468,Average Student
male,group E,some high school,standard,none,92,87,78,257,85.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,103,35,36,High Achiever
male,group C,bachelor's degree,standard,completed,83,82,84,249,83.0,Top Performer,Good,Excellent student - can mentor others,140,49,129,High Achiever
male,group D,associate's degree,standard,none,80,75,77,232,77.33333333333333,Low Risk,Good,Stable performance,255,106,177,Average Student
male,group D,bachelor's degree,free/reduced,none,63,66,67,196,65.33333333333333,Low Risk,Average,Stable performance,584,253,574,Average Student
female,group D,some high school,standard,completed,64,60,74,198,66.0,Low Risk,Average,Stable performance,562,320,554,Average Student
male,group B,some college,standard,none,54,52,51,157,52.333333333333336,Moderate Risk,Average,Needs improvement with guidance,850,391,780,Needs Improvement
male,group C,associate's degree,standard,none,84,80,80,244,81.33333333333333,Top Performer,Good,Excellent student - can mentor others,173,65,118,High Achiever
male,group D,high school,free/reduced,completed,73,68,66,207,69.0,Low Risk,Average,Stable performance,475,200,321,Average Student
female,group E,bachelor's degree,standard,none,80,83,83,246,82.0,Top Performer,Good,Excellent student - can mentor others,166,107,177,High Achiever
female,group D,high school,standard,none,56,52,55,163,54.333333333333336,Moderate Risk,Average,Needs improvement with guidance,819,441,753,Needs Improvement
male,group E,some college,standard,none,59,51,43,153,51.0,Moderate Risk,Average,Needs improvement with guidance,876,407,678,Needs Improvement
male,group D,some high school,standard,none,75,74,69,218,72.66666666666667,Low Risk,Good,Stable performance,379,158,275,Average Student
male,group C,associate's degree,standard,none,85,76,71,232,77.33333333333333,Low Risk,Good,Stable performance,255,106,104,Average Student
male,group E,associate's degree,standard,none,89,76,74,239,79.66666666666667,Low Risk,Good,Stable performance,199,81,59,Average Student
female,group B,high school,standard,completed,58,70,68,196,65.33333333333333,Low Risk,Average,Stable performance,584,332,710,Average Student
female,group B,high school,standard,none,65,64,62,191,63.666666666666664,Moderate Risk,Average,Needs improvement with guidance,632,356,518,Average Student
male,group C,high school,standard,none,68,60,53,181,60.333333333333336,Moderate Risk,Average,Needs improvement with guidance,700,311,442,Average Student
male,group A,some high school,standard,completed,47,49,49,145,48.333333333333336,High Risk,Poor,Needs immediate academic support,915,430,894,Needs Improvement
female,group D,some college,free/reduced,none,71,83,83,237,79.0,Low Risk,Good,Stable performance,215,127,366,Average Student
female,group B,some high school,standard,completed,60,70,70,200,66.66666666666667,Low Risk,Average,Stable performance,549,311,662,Average Student
male,group D,master's degree,standard,none,80,80,72,232,77.33333333333333,Low Risk,Good,Stable performance,255,106,177,Average Student
male,group D,high school,standard,none,54,52,52,158,52.666666666666664,Moderate Risk,Average,Needs improvement with guidance,843,389,780,Needs Improvement
female,group E,some college,standard,none,62,73,70,205,68.33333333333333,Low Risk,Average,Stable performance,499,289,600,Average Student
female,group C,associate's degree,free/reduced,none,64,73,68,205,68.33333333333333,Low Risk,Average,Stable performance,499,289,554,Average Student
male,group C,associate's degree,standard,completed,78,77,77,232,77.33333333333333,Low Risk,Good,Stable performance,255,106,216,Average Student
female,group B,some college,standard,none,70,75,78,223,74.33333333333333,Low Risk,Good,Stable performance,333,196,392,Average Student
female,group C,master's degree,free/reduced,completed,65,81,81,227,75.66666666666667,Low Risk,Good,Stable performance,297,173,518,Average Student
female,group C,some high school,free/reduced,completed,64,79,77,220,73.33333333333333,Low Risk,Good,Stable performance,356,212,554,Average Student
male,group C,some college,standard,completed,79,79,78,236,78.66666666666667,Low Risk,Good,Stable performance,222,93,194,Average Student
female,group C,some high school,free/reduced,none,44,50,51,145,48.333333333333336,High Risk,Poor,Needs immediate academic support,915,486,925,Needs Improvement
female,group E,high school,standard,none,99,93,90,282,94.0,Top Performer,Excellent,Excellent student - can mentor others,23,20,8,High Achiever
male,group D,high school,standard,none,76,73,68,217,72.33333333333333,Low Risk,Good,Stable performance,389,160,254,Average Student
male,group D,some high school,free/reduced,none,59,42,41,142,47.333333333333336,High Risk,Poor,Needs immediate academic support,927,440,678,Needs Improvement
female,group C,bachelor's degree,standard,none,63,75,81,219,73.0,Low Risk,Good,Stable performance,367,216,574,Average Student
female,group D,high school,standard,none,69,72,77,218,72.66666666666667,Low Risk,Good,Stable performance,379,222,410,Average Student
female,group D,associate's degree,standard,completed,88,92,95,275,91.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,37,28,65,High Achiever
female,group E,some college,free/reduced,none,71,76,70,217,72.33333333333333,Low Risk,Good,Stable performance,389,230,366,Average Student
male,group C,bachelor's degree,standard,none,69,63,61,193,64.33333333333333,Moderate Risk,Average,Needs improvement with guidance,613,266,410,Average Student
male,group C,some college,standard,none,58,49,42,149,49.666666666666664,High Risk,Poor,Needs immediate academic support,898,419,710,Needs Improvement
female,group D,associate's degree,free/reduced,none,47,53,58,158,52.666666666666664,Moderate Risk,Average,Needs improvement with guidance,843,455,894,Needs Improvement
female,group D,some college,standard,none,65,70,71,206,68.66666666666667,Low Risk,Average,Stable performance,487,283,518,Average Student
male,group B,some college,standard,completed,88,85,76,249,83.0,Top Performer,Good,Excellent student - can mentor others,140,49,65,High Achiever
male,group C,bachelor's degree,standard,none,83,78,73,234,78.0,Low Risk,Good,Stable performance,240,98,129,Average Student
female,group C,some high school,standard,completed,85,92,93,270,90.0,Top Performer,Excellent,Excellent student - can mentor others,51,37,104,High Achiever
female,group E,high school,standard,completed,59,63,75,197,65.66666666666667,Low Risk,Average,Stable performance,576,328,678,Average Student
female,group C,some high school,free/reduced,none,65,86,80,231,77.0,Low Risk,Good,Stable performance,269,157,518,Average Student
male,group B,bachelor's degree,free/reduced,none,73,56,57,186,62.0,Moderate Risk,Average,Needs improvement with guidance,665,292,321,Average Student
male,group D,high school,standard,none,53,52,42,147,49.0,High Risk,Poor,Needs immediate academic support,905,423,798,Needs Improvement
male,group D,high school,standard,none,45,48,46,139,46.333333333333336,High Risk,Poor,Needs immediate academic support,934,446,916,Needs Improvement
female,group D,bachelor's degree,free/reduced,none,73,79,84,236,78.66666666666667,Low Risk,Good,Stable performance,222,130,321,Average Student
female,group D,some college,free/reduced,completed,70,78,78,226,75.33333333333333,Low Risk,Good,Stable performance,307,181,392,Average Student
female,group B,some high school,standard,none,37,46,46,129,43.0,High Risk,Poor,Needs immediate academic support,960,496,968,Needs Improvement
male,group B,associate's degree,standard,completed,81,82,82,245,81.66666666666667,Top Performer,Good,Excellent student - can mentor others,169,61,155,High Achiever
male,group E,associate's degree,standard,completed,97,82,88,267,89.0,Top Performer,Excellent,Excellent student - can mentor others,59,15,14,High Achiever
female,group B,some high school,standard,none,67,89,82,238,79.33333333333333,Low Risk,Good,Stable performance,207,123,468,Average Student
male,group B,bachelor's degree,free/reduced,none,88,75,76,239,79.66666666666667,Low Risk,Good,Stable performance,199,81,65,Average Student
male,group E,some high school,standard,completed,77,76,77,230,76.66666666666667,Low Risk,Good,Stable performance,277,116,230,Average Student
male,group C,associate's degree,standard,none,76,70,68,214,71.33333333333333,Low Risk,Good,Stable performance,412,169,254,Average Student
male,group D,some high school,standard,none,86,73,70,229,76.33333333333333,Low Risk,Good,Stable performance,282,119,96,Average Student
male,group C,some high school,standard,completed,63,60,57,180,60.0,Moderate Risk,Average,Needs improvement with guidance,708,318,574,Average Student
female,group E,bachelor's degree,standard,none,65,73,75,213,71.0,Low Risk,Good,Stable performance,424,250,518,Average Student
male,group D,high school,free/reduced,completed,78,77,80,235,78.33333333333333,Low Risk,Good,Stable performance,231,96,216,Average Student
male,group B,associate's degree,free/reduced,none,67,62,60,189,63.0,Moderate Risk,Average,Needs improvement with guidance,646,283,468,Average Student
male,group A,some high school,standard,completed,46,41,43,130,43.333333333333336,High Risk,Poor,Needs immediate academic support,956,462,905,Needs Improvement
male,group E,associate's degree,standard,completed,71,74,68,213,71.0,Low Risk,Good,Stable performance,424,175,366,Average Student
male,group C,high school,free/reduced,completed,40,46,50,136,45.333333333333336,High Risk,Poor,Needs immediate academic support,943,453,951,Needs Improvement
male,group D,associate's degree,free/reduced,none,90,87,75,252,84.0,Top Performer,Good,Excellent student - can mentor others,123,42,51,High Achiever
male,group A,some college,free/reduced,completed,81,78,81,240,80.0,Top Performer,Good,Excellent student - can mentor others,195,80,155,High Achiever
male,group D,some high school,free/reduced,none,56,54,52,162,54.0,Moderate Risk,Average,Needs improvement with guidance,824,381,753,Needs Improvement
female,group C,associate's degree,standard,completed,67,84,81,232,77.33333333333333,Low Risk,Good,Stable performance,255,150,468,Average Student
male,group B,associate's degree,standard,none,80,76,64,220,73.33333333333333,Low Risk,Good,Stable performance,356,145,177,Average Student
female,group C,associate's degree,standard,completed,74,75,83,232,77.33333333333333,Low Risk,Good,Stable performance,255,150,296,Average Student
male,group A,some college,standard,none,69,67,69,205,68.33333333333333,Low Risk,Average,Stable performance,499,211,410,Average Student
male,group E,some college,standard,completed,99,87,81,267,89.0,Top Performer,Excellent,Excellent student - can mentor others,59,15,8,High Achiever
male,group C,some high school,standard,none,51,52,44,147,49.0,High Risk,Poor,Needs immediate academic support,905,423,840,Needs Improvement
female,group B,associate's degree,free/reduced,none,53,71,67,191,63.666666666666664,Moderate Risk,Average,Needs improvement with guidance,632,356,798,Average Student
female,group D,high school,free/reduced,none,49,57,52,158,52.666666666666664,Moderate Risk,Average,Needs improvement with guidance,843,455,866,Needs Improvement
female,group B,associate's degree,standard,none,73,76,80,229,76.33333333333333,Low Risk,Good,Stable performance,282,164,321,Average Student
male,group B,bachelor's degree,standard,none,66,60,57,183,61.0,Moderate Risk,Average,Needs improvement with guidance,687,303,494,Average Student
male,group D,bachelor's degree,standard,completed,67,61,68,196,65.33333333333333,Low Risk,Average,Stable performance,584,253,468,Average Student
female,group C,associate's degree,free/reduced,completed,68,67,69,204,68.0,Low Risk,Average,Stable performance,512,293,442,Average Student
female,group C,bachelor's degree,standard,completed,59,64,75,198,66.0,Low Risk,Average,Stable performance,562,320,678,Average Student
male,group C,high school,standard,none,71,66,65,202,67.33333333333333,Low Risk,Average,Stable performance,534,231,366,Average Student
female,group D,master's degree,standard,completed,77,82,91,250,83.33333333333333,Top Performer,Good,Excellent student - can mentor others,135,89,230,High Achiever
male,group C,associate's degree,standard,none,83,72,78,233,77.66666666666667,Low Risk,Good,Stable performance,250,105,129,Average Student
male,group B,bachelor's degree,standard,none,63,71,69,203,67.66666666666667,Low Risk,Average,Stable performance,527,227,574,Average Student
female,group D,associate's degree,free/reduced,none,56,65,63,184,61.333333333333336,Moderate Risk,Average,Needs improvement with guidance,678,381,753,Average Student
female,group C,high school,free/reduced,completed,67,79,84,230,76.66666666666667,Low Risk,Good,Stable performance,277,162,468,Average Student
female,group E,high school,standard,none,75,86,79,240,80.0,Top Performer,Good,Excellent student - can mentor others,195,116,275,High Achiever
female,group C,some college,standard,none,71,81,80,232,77.33333333333333,Low Risk,Good,Stable performance,255,150,366,Average Student
female,group C,some high school,free/reduced,none,43,53,53,149,49.666666666666664,High Risk,Poor,Needs immediate academic support,898,480,934,Needs Improvement
female,group C,high school,free/reduced,none,41,46,43,130,43.333333333333336,High Risk,Poor,Needs immediate academic support,956,495,945,Needs Improvement
female,group C,some college,standard,none,82,90,94,266,88.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,64,46,137,High Achiever
male,group C,some college,standard,none,61,61,62,184,61.333333333333336,Moderate Risk,Average,Needs improvement with guidance,678,298,635,Average Student
male,group A,some college,free/reduced,none,28,23,19,70,23.333333333333332,High Risk,Poor,Needs immediate academic support,997,481,990,Needs Improvement
male,group C,associate's degree,standard,completed,82,75,77,234,78.0,Low Risk,Good,Stable performance,240,98,137,Average Student
female,group B,some high school,standard,none,41,55,51,147,49.0,High Risk,Poor,Needs immediate academic support,905,483,945,Needs Improvement
male,group C,high school,standard,none,71,60,61,192,64.0,Moderate Risk,Average,Needs improvement with guidance,623,272,366,Average Student
male,group C,associate's degree,standard,none,47,37,35,119,39.666666666666664,High Risk,Poor,Needs immediate academic support,971,469,894,Needs Improvement
male,group E,associate's degree,standard,completed,62,56,53,171,57.0,Moderate Risk,Average,Needs improvement with guidance,772,352,600,Needs Improvement
male,group B,associate's degree,standard,none,90,78,81,249,83.0,Top Performer,Good,Excellent student - can mentor others,140,49,51,High Achiever
female,group C,bachelor's degree,standard,none,83,93,95,271,90.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,48,34,129,High Achiever
female,group B,some college,free/reduced,none,61,68,66,195,65.0,Low Risk,Average,Stable performance,593,336,635,Average Student
male,group D,some high school,standard,completed,76,70,69,215,71.66666666666667,Low Risk,Good,Stable performance,404,164,254,Average Student
male,group C,associate's degree,standard,none,49,51,43,143,47.666666666666664,High Risk,Poor,Needs immediate academic support,925,438,866,Needs Improvement
female,group B,some high school,free/reduced,none,24,38,27,89,29.666666666666668,High Risk,Poor,Needs immediate academic support,992,513,994,Needs Improvement
female,group D,some high school,free/reduced,completed,35,55,60,150,50.0,Moderate Risk,Average,Needs improvement with guidance,892,475,974,Needs Improvement
male,group C,high school,free/reduced,none,58,61,52,171,57.0,Moderate Risk,Average,Needs improvement with guidance,772,352,710,Needs Improvement
female,group C,high school,standard,none,61,73,63,197,65.66666666666667,Low Risk,Average,Stable performance,576,328,635,Average Student
female,group B,high school,standard,completed,69,76,74,219,73.0,Low Risk,Good,Stable performance,367,216,410,Average Student
male,group D,associate's degree,standard,completed,67,72,67,206,68.66666666666667,Low Risk,Average,Stable performance,487,205,468,Average Student
male,group D,some college,standard,none,79,73,67,219,73.0,Low Risk,Good,Stable performance,367,152,194,Average Student
female,group C,high school,standard,none,72,80,75,227,75.66666666666667,Low Risk,Good,Stable performance,297,173,348,Average Student
male,group B,some college,standard,none,62,61,57,180,60.0,Moderate Risk,Average,Needs improvement with guidance,708,318,600,Average Student
female,group C,bachelor's degree,standard,completed,77,94,95,266,88.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,64,46,230,High Achiever
male,group D,high school,free/reduced,none,75,74,66,215,71.66666666666667,Low Risk,Good,Stable performance,404,164,275,Average Student
male,group E,associate's degree,standard,none,87,74,76,237,79.0,Low Risk,Good,Stable performance,215,89,80,Average Student
female,group B,bachelor's degree,standard,none,52,65,69,186,62.0,Moderate Risk,Average,Needs improvement with guidance,665,374,822,Average Student
male,group E,some college,standard,none,66,57,52,175,58.333333333333336,Moderate Risk,Average,Needs improvement with guidance,745,335,494,Needs Improvement
female,group C,some college,standard,completed,63,78,80,221,73.66666666666667,Low Risk,Good,Stable performance,351,209,574,Average Student
female,group C,associate's degree,standard,none,46,58,57,161,53.666666666666664,Moderate Risk,Average,Needs improvement with guidance,830,447,905,Needs Improvement
female,group C,some college,standard,none,59,71,70,200,66.66666666666667,Low Risk,Average,Stable performance,549,311,678,Average Student
female,group B,bachelor's degree,standard,none,61,72,70,203,67.66666666666667,Low Risk,Average,Stable performance,527,301,635,Average Student
male,group A,associate's degree,standard,none,63,61,61,185,61.666666666666664,Moderate Risk,Average,Needs improvement with guidance,671,294,574,Average Student
female,group C,some college,free/reduced,completed,42,66,69,177,59.0,Moderate Risk,Average,Needs improvement with guidance,727,403,939,Needs Improvement
male,group D,some college,free/reduced,none,59,62,61,182,60.666666666666664,Moderate Risk,Average,Needs improvement with guidance,693,307,678,Average Student
female,group D,some college,standard,none,80,90,89,259,86.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,93,64,177,High Achiever
female,group B,high school,standard,none,58,62,59,179,59.666666666666664,Moderate Risk,Average,Needs improvement with guidance,716,395,710,Needs Improvement
male,group B,some high school,standard,completed,85,84,78,247,82.33333333333333,Top Performer,Good,Excellent student - can mentor others,155,55,104,High Achiever
female,group C,some college,standard,none,52,58,58,168,56.0,Moderate Risk,Average,Needs improvement with guidance,786,428,822,Needs Improvement
female,group D,some high school,free/reduced,none,27,34,32,93,31.0,High Risk,Poor,Needs immediate academic support,989,512,991,Needs Improvement
male,group C,some college,standard,none,59,60,58,177,59.0,Moderate Risk,Average,Needs improvement with guidance,727,325,678,Needs Improvement
male,group A,bachelor's degree,free/reduced,completed,49,58,60,167,55.666666666666664,Moderate Risk,Average,Needs improvement with guidance,796,364,866,Needs Improvement
male,group C,high school,standard,completed,69,58,53,180,60.0,Moderate Risk,Average,Needs improvement with guidance,708,318,410,Average Student
male,group C,bachelor's degree,free/reduced,none,61,66,61,188,62.666666666666664,Moderate Risk,Average,Needs improvement with guidance,653,286,635,Average Student
female,group A,some high school,free/reduced,none,44,64,58,166,55.333333333333336,Moderate Risk,Average,Needs improvement with guidance,803,436,925,Needs Improvement
female,group D,some high school,standard,none,73,84,85,242,80.66666666666667,Top Performer,Good,Excellent student - can mentor others,180,111,321,High Achiever
male,group E,some college,standard,none,84,77,71,232,77.33333333333333,Low Risk,Good,Stable performance,255,106,118,Average Student
female,group C,some college,free/reduced,completed,45,73,70,188,62.666666666666664,Moderate Risk,Average,Needs improvement with guidance,653,368,916,Average Student
male,group D,some high school,standard,none,74,74,72,220,73.33333333333333,Low Risk,Good,Stable performance,356,145,296,Average Student
female,group D,some college,standard,completed,82,97,96,275,91.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,37,28,137,High Achiever
female,group D,bachelor's degree,standard,none,59,70,73,202,67.33333333333333,Low Risk,Average,Stable performance,534,304,678,Average Student
male,group E,associate's degree,free/reduced,none,46,43,41,130,43.333333333333336,High Risk,Poor,Needs immediate academic support,956,462,905,Needs Improvement
female,group D,some high school,standard,none,80,90,82,252,84.0,Top Performer,Good,Excellent student - can mentor others,123,82,177,High Achiever
female,group D,master's degree,free/reduced,completed,85,95,100,280,93.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,28,22,104,High Achiever
female,group A,some high school,standard,none,71,83,77,231,77.0,Low Risk,Good,Stable performance,269,157,366,Average Student
male,group A,bachelor's degree,standard,none,66,64,62,192,64.0,Moderate Risk,Average,Needs improvement with guidance,623,272,494,Average Student
female,group B,associate's degree,standard,none,80,86,83,249,83.0,Top Performer,Good,Excellent student - can mentor others,140,92,177,High Achiever
male,group C,associate's degree,standard,completed,87,100,95,282,94.0,Top Performer,Excellent,Excellent student - can mentor others,23,4,80,High Achiever
male,group C,master's degree,free/reduced,none,79,81,71,231,77.0,Low Risk,Good,Stable performance,269,113,194,Average Student
female,group E,some high school,free/reduced,none,38,49,45,132,44.0,High Risk,Poor,Needs immediate academic support,952,493,965,Needs Improvement
female,group A,some high school,free/reduced,none,38,43,43,124,41.333333333333336,High Risk,Poor,Needs immediate academic support,964,499,965,Needs Improvement
female,group E,some college,standard,none,67,76,75,218,72.66666666666667,Low Risk,Good,Stable performance,379,222,468,Average Student
female,group E,bachelor's degree,standard,none,64,73,70,207,69.0,Low Risk,Average,Stable performance,475,276,554,Average Student
female,group C,associate's degree,free/reduced,none,57,78,67,202,67.33333333333333,Low Risk,Average,Stable performance,534,304,735,Average Student
female,group D,high school,standard,none,62,64,64,190,63.333333333333336,Moderate Risk,Average,Needs improvement with guidance,641,361,600,Average Student
male,group D,master's degree,standard,none,73,70,75,218,72.66666666666667,Low Risk,Good,Stable performance,379,158,321,Average Student
male,group E,some high school,free/reduced,completed,73,67,59,199,66.33333333333333,Low Risk,Average,Stable performance,557,240,321,Average Student
female,group D,some college,standard,none,77,68,77,222,74.0,Low Risk,Good,Stable performance,345,205,230,Average Student
male,group E,some college,standard,none,76,67,67,210,70.0,Low Risk,Good,Stable performance,448,185,254,Average Student
male,group C,associate's degree,standard,completed,57,54,56,167,55.666666666666664,Moderate Risk,Average,Needs improvement with guidance,796,364,735,Needs Improvement
female,group C,some high school,standard,completed,65,74,77,216,72.0,Low Risk,Good,Stable performance,395,235,518,Average Student
male,group A,high school,free/reduced,none,48,45,41,134,44.666666666666664,High Risk,Poor,Needs immediate academic support,947,457,883,Needs Improvement
female,group B,high school,free/reduced,none,50,67,63,180,60.0,Moderate Risk,Average,Needs improvement with guidance,708,391,851,Average Student
female,group C,associate's degree,standard,none,85,89,95,269,89.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,53,39,104,High Achiever
male,group B,some high school,standard,none,74,63,57,194,64.66666666666667,Moderate Risk,Average,Needs improvement with guidance,602,262,296,Average Student
male,group D,some high school,standard,none,60,59,54,173,57.666666666666664,Moderate Risk,Average,Needs improvement with guidance,756,342,662,Needs Improvement
female,group C,some high school,standard,completed,59,54,67,180,60.0,Moderate Risk,Average,Needs improvement with guidance,708,391,678,Average Student
male,group A,some college,standard,none,53,43,43,139,46.333333333333336,High Risk,Poor,Needs immediate academic support,934,446,798,Needs Improvement
female,group A,some college,free/reduced,none,49,65,55,169,56.333333333333336,Moderate Risk,Average,Needs improvement with guidance,780,424,866,Needs Improvement
female,group D,high school,standard,completed,88,99,100,287,95.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,21,18,65,High Achiever
female,group C,high school,standard,none,54,59,62,175,58.333333333333336,Moderate Risk,Average,Needs improvement with guidance,745,411,780,Needs Improvement
female,group C,some high school,standard,none,63,73,68,204,68.0,Low Risk,Average,Stable performance,512,293,574,Average Student
male,group B,associate's degree,standard,completed,65,65,63,193,64.33333333333333,Moderate Risk,Average,Needs improvement with guidance,613,266,518,Average Student
female,group B,associate's degree,standard,none,82,80,77,239,79.66666666666667,Low Risk,Good,Stable performance,199,119,137,Average Student
female,group D,high school,free/reduced,completed,52,57,56,165,55.0,Moderate Risk,Average,Needs improvement with guidance,808,438,822,Needs Improvement
male,group D,associate's degree,standard,completed,87,84,85,256,85.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,109,37,80,High Achiever
female,group D,master's degree,standard,completed,70,71,74,215,71.66666666666667,Low Risk,Good,Stable performance,404,241,392,Average Student
male,group E,some college,standard,completed,84,83,78,245,81.66666666666667,Top Performer,Good,Excellent student - can mentor others,169,61,118,High Achiever
male,group D,associate's degree,standard,none,71,66,60,197,65.66666666666667,Low Risk,Average,Stable performance,576,249,366,Average Student
male,group B,some high school,standard,completed,63,67,67,197,65.66666666666667,Low Risk,Average,Stable performance,576,249,574,Average Student
female,group C,bachelor's degree,free/reduced,completed,51,72,79,202,67.33333333333333,Low Risk,Average,Stable performance,534,304,840,Average Student
male,group E,high school,standard,none,84,73,69,226,75.33333333333333,Low Risk,Good,Stable performance,307,127,118,Average Student
male,group C,bachelor's degree,standard,completed,71,74,68,213,71.0,Low Risk,Good,Stable performance,424,175,366,Average Student
male,group C,associate's degree,standard,none,74,73,67,214,71.33333333333333,Low Risk,Good,Stable performance,412,169,296,Average Student
male,group D,some college,standard,none,68,59,62,189,63.0,Moderate Risk,Average,Needs improvement with guidance,646,283,442,Average Student
male,group E,high school,free/reduced,completed,57,56,54,167,55.666666666666664,Moderate Risk,Average,Needs improvement with guidance,796,364,735,Needs Improvement
female,group C,associate's degree,free/reduced,completed,82,93,93,268,89.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,55,41,137,High Achiever
female,group D,high school,standard,completed,57,58,64,179,59.666666666666664,Moderate Risk,Average,Needs improvement with guidance,716,395,735,Needs Improvement
female,group D,master's degree,free/reduced,completed,47,58,67,172,57.333333333333336,Moderate Risk,Average,Needs improvement with guidance,764,419,894,Needs Improvement
female,group A,some high school,standard,completed,59,85,80,224,74.66666666666667,Low Risk,Good,Stable performance,325,191,678,Average Student
male,group B,some college,free/reduced,none,41,39,34,114,38.0,High Risk,Poor,Needs immediate academic support,980,475,945,Needs Improvement
female,group C,some college,free/reduced,none,62,67,62,191,63.666666666666664,Moderate Risk,Average,Needs improvement with guidance,632,356,600,Average Student
male,group C,bachelor's degree,standard,none,86,83,86,255,85.0,Top Performer,Excellent,Excellent student - can mentor others,113,38,96,High Achiever
male,group C,some high school,free/reduced,none,69,71,65,205,68.33333333333333,Low Risk,Average,Stable performance,499,211,410,Average Student
male,group A,some high school,free/reduced,none,65,59,53,177,59.0,Moderate Risk,Average,Needs improvement with guidance,727,325,518,Needs Improvement
male,group C,some high school,free/reduced,none,68,63,54,185,61.666666666666664,Moderate Risk,Average,Needs improvement with guidance,671,294,442,Average Student
male,group C,associate's degree,free/reduced,none,64,66,59,189,63.0,Moderate Risk,Average,Needs improvement with guidance,646,283,554,Average Student
female,group C,high school,standard,none,61,72,70,203,67.66666666666667,Low Risk,Average,Stable performance,527,301,635,Average Student
male,group C,high school,standard,none,61,56,55,172,57.333333333333336,Moderate Risk,Average,Needs improvement with guidance,764,346,635,Needs Improvement
female,group A,some high school,free/reduced,none,47,59,50,156,52.0,Moderate Risk,Average,Needs improvement with guidance,855,461,894,Needs Improvement
male,group C,some high school,standard,none,73,66,66,205,68.33333333333333,Low Risk,Average,Stable performance,499,211,321,Average Student
male,group C,some college,free/reduced,completed,50,48,53,151,50.333333333333336,Moderate Risk,Average,Needs improvement with guidance,884,412,851,Needs Improvement
male,group D,associate's degree,standard,none,75,68,64,207,69.0,Low Risk,Average,Stable performance,475,200,275,Average Student
male,group D,associate's degree,free/reduced,none,75,66,73,214,71.33333333333333,Low Risk,Good,Stable performance,412,169,275,Average Student
male,group C,high school,standard,none,70,56,51,177,59.0,Moderate Risk,Average,Needs improvement with guidance,727,325,392,Needs Improvement
male,group D,some high school,standard,completed,89,88,82,259,86.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,93,30,59,High Achiever
female,group C,some college,standard,completed,67,81,79,227,75.66666666666667,Low Risk,Good,Stable performance,297,173,468,Average Student
female,group D,high school,standard,none,78,81,80,239,79.66666666666667,Low Risk,Good,Stable performance,199,119,216,Average Student
female,group A,some high school,free/reduced,none,59,73,69,201,67.0,Low Risk,Average,Stable performance,540,307,678,Average Student
female,group B,associate's degree,standard,none,73,83,76,232,77.33333333333333,Low Risk,Good,Stable performance,255,150,321,Average Student
male,group A,some high school,free/reduced,none,79,82,73,234,78.0,Low Risk,Good,Stable performance,240,98,194,Average Student
female,group C,some high school,standard,completed,67,74,77,218,72.66666666666667,Low Risk,Good,Stable performance,379,222,468,Average Student
male,group D,some college,free/reduced,none,69,66,60,195,65.0,Low Risk,Average,Stable performance,593,258,410,Average Student
male,group C,high school,standard,completed,86,81,80,247,82.33333333333333,Top Performer,Good,Excellent student - can mentor others,155,55,96,High Achiever
male,group B,high school,standard,none,47,46,42,135,45.0,High Risk,Poor,Needs immediate academic support,945,455,894,Needs Improvement
male,group B,associate's degree,standard,none,81,73,72,226,75.33333333333333,Low Risk,Good,Stable performance,307,127,155,Average Student
female,group C,some college,free/reduced,completed,64,85,85,234,78.0,Low Risk,Good,Stable performance,240,143,554,Average Student
